   Compiling ahc025 v0.1.0 (/home/light/kyopro/ahc025)
    Finished dev [unoptimized + debuginfo] target(s) in 0.40s
     Running `target/debug/test a`
683 11008289 2.125 8
469 10619514 2.4891305 21
243 10332788 2.1066666 9
222 10246049 3.4210527 6
274 9930491 3.0408163 8
497 8904513 4.4130435 10
917 8737760 4.1846156 16
412 8707257 2.3898306 13
86 8653161 7.923077 5
990 8409078 2.490566 12
62 8324145 5.138889 5
867 8231499 2.2625 18
774 8178396 2.3285713 16
72 7919512 5.129032 13
833 7835640 2.15625 3
580 7755482 2.632653 12
575 7740534 2.1960785 11
93 7654275 2.1756756 12
713 7619815 2.93617 7
384 7573574 2.392857 8
759 7528893 2.621951 19
809 7040854 9.594595 8
953 7031032 2.4 12
760 7022180 3.875 9
553 7010621 7.2 8
426 6994890 10.580247 16
763 6921179 2.8235295 10
244 6821402 2.4772727 3
221 6819945 3.3823528 16
706 6814924 3.03 21
902 6766373 3.08 8
923 6762236 7.730337 20
949 6734126 2.8804348 16
145 6702824 3.8289473 16
211 6670067 2.878788 16
392 6661261 2.1034484 13
535 6638580 4.5384617 16
137 6495055 2.7831326 19
351 6367946 2.6612904 14
673 6332546 2.92 12
420 6327152 2.0227273 7
95 6308036 3.0576923 9
358 6274495 2.646154 10
602 6257567 8.1875 4
597 6216318 3.1290324 16
43 6215668 2.2613637 17
679 6190174 2.05 6
114 6166492 6.6833334 8
335 6142348 3.109756 17
869 6131995 2.9722223 14
198 6110741 2.945946 17
451 6091233 20.865671 16
636 6067260 4.418605 8
826 6034157 2.2765958 10
878 6031769 2.8 7
61 6027999 4.9565215 10
938 6000453 2.8888888 12
874 5946332 3.106383 9
251 5912358 2.3055556 13
630 5907032 6.7244897 24
492 5904363 10.126582 8
754 5869418 12.96875 8
355 5575983 2.2368422 8
542 5516339 2.6271186 14
939 5512679 7.8 8
8 5506400 5.051282 7
727 5462645 2.8125 8
708 5458636 2.265625 12
193 5439793 3.159091 9
802 5382462 2.3544304 16
171 5363693 2.2592592 5
789 5360349 2.4923077 15
646 5331862 2.3142858 8
661 5292597 3.5238094 20
827 5266362 2.8235295 15
746 5245857 3.8452382 17
356 5217782 2.1403508 8
160 5200925 2.8028169 17
910 5198708 3 12
601 5197736 4.7058825 12
442 5193698 2.9333334 20
152 5169878 2.3650794 15
101 5165396 2.804878 7
916 5164481 3.137931 10
615 5153931 2.8235295 10
540 5135514 2.048387 11
446 5110275 3.4772727 20
379 5103089 3.6585367 18
637 5084895 5.547619 21
346 5054654 26.416666 8
539 5047936 2.5921052 15
301 5021333 5.742857 6
373 5012274 7.1132073 8
976 5004782 3.8072288 20
429 4957939 6.744186 11
815 4907148 18.548388 7
897 4900055 2.8873239 17
479 4883631 14.788236 16
76 4796998 3.65625 7
738 4791201 20.838385 13
45 4744875 6.2280703 11
151 4744412 14.402061 24
437 4722187 4.6666665 8
999 4698334 5 7
968 4648907 3.887097 11
444 4608900 2.7230768 11
832 4602975 3.0860214 23
400 4575605 2.7291667 12
231 4509036 3.59375 6
487 4495549 2.1754386 12
914 4476347 2.5192308 8
899 4423630 2.9152544 14
562 4377009 26.5625 16
530 4365333 2.0810812 3
174 4365259 3.6140351 11
369 4340087 21.697674 8
591 4315854 2.6153846 15
513 4305137 8.736263 11
464 4299459 2.1607144 10
585 4286864 5.2 7
33 4250769 2.8111112 18
38 4246551 7.52809 8
611 4245808 3.2297297 12
790 4221851 6.2727275 9
922 4190405 28.836735 3
310 4156848 2.109589 12
980 4127806 2.5438597 6
63 4065101 9.71875 12
743 4058979 2.6818182 10
701 4051451 2.4857142 15
517 4049511 9.714286 11
848 4030981 7.535714 14
635 3997458 2.6847825 17
475 3987586 7.8378377 9
317 3920812 3.4782608 11
567 3917671 3.3376622 10
122 3905901 2.75 19
871 3884661 6.6043954 16
977 3866399 29.54945 3
528 3864635 2.510204 9
418 3863775 6.028169 3
649 3828302 4.5507245 17
616 3802576 6.59375 21
937 3766618 17.1 16
282 3755256 4.5584416 10
858 3753690 16.06 19
269 3708858 2.7419355 6
736 3695766 5.952381 15
560 3682178 2.525 5
671 3673091 2.4583333 7
150 3671969 22.97647 16
467 3669326 2.9729729 18
474 3667843 13.40625 8
217 3657896 2.0394738 5
207 3654743 8.728813 12
934 3649024 4.5581393 10
481 3637302 2.6 7
378 3636850 2.4871795 2
604 3608600 5.887755 18
507 3579705 3.1704545 13
704 3555026 4.1707315 10
41 3525345 3.25 9
130 3521502 2.371134 14
180 3512719 10.372093 18
742 3504144 7.428571 19
617 3500762 19.897959 12
391 3472271 4.7083335 16
682 3458365 3.796875 3
106 3434435 5.081081 17
218 3431001 2.9268293 18
430 3409659 4.762712 6
107 3394429 4.4166665 5
624 3393240 3.4655173 11
911 3380895 4.505618 22
348 3379903 6.181818 11
983 3378431 6.7222223 8
290 3371915 6.35 8
49 3369770 5.1182795 12
315 3368141 2.2857144 11
24 3367478 11.857142 12
340 3364258 4.909091 24
956 3342538 3.4086022 9
498 3301635 7.40625 16
230 3299436 2.6375 4
200 3297621 18 12
436 3271133 11.22093 8
280 3261964 30.282352 13
582 3261722 2.64 7
779 3253044 2.0421052 8
165 3235251 4.9166665 11
37 3214995 4.4418607 21
700 3210861 3.8169014 15
755 3207810 8.3 6
587 3183568 5.0677967 10
96 3176648 7.59322 13
571 3145167 25.311687 3
5 3144026 4.8095236 10
172 3128525 14.343284 16
712 3116360 8.093333 16
59 3094949 3.1470587 8
696 3093963 24.212122 7
395 3032176 6.3018866 9
590 3014745 3.234375 12
538 3009660 14.462687 13
677 2986802 13.704545 11
167 2986098 2.175 7
359 2979421 9.439024 6
782 2971836 2.536232 15
350 2964940 8.088235 3
714 2962292 9.826087 7
992 2955994 23.595238 8
163 2954238 3.4536083 9
570 2933894 2.24 4
948 2930758 29.547619 4
777 2928074 3.7922077 16
951 2926143 2.2117648 7
514 2925588 20.469387 12
609 2917569 2.27451 7
313 2910706 5.3333335 9
702 2865688 5.0972223 10
907 2858603 6.4069767 15
212 2847662 7.2777777 6
964 2847612 2.2950819 4
34 2839648 13.0625 8
312 2836934 13.337838 3
298 2817678 7.3493977 17
409 2806496 5.95 4
577 2784455 5.987013 19
730 2770174 2.1333334 10
994 2753649 2.4782608 9
583 2750093 4.25 7
954 2746384 2.0434783 6
225 2733462 2.9756098 10
574 2733457 25.654762 16
183 2727469 4.7244897 16
979 2725762 7.568182 6
559 2723363 13.409638 11
785 2722023 7.6923075 13
648 2701592 8.197531 16
364 2689607 18.84091 11
320 2676729 4.7941175 15
476 2666711 2.6702127 13
653 2665689 9.328359 14
159 2665397 3.1891892 5
98 2652770 2.7567568 14
480 2648128 2.4264705 4
247 2647572 4.214286 7
143 2640240 7.820513 11
788 2626974 3.9705882 7
595 2613561 6.7471266 4
17 2610414 2.2558138 6
845 2600962 3.1929824 3
360 2595700 27.604166 12
593 2585974 8.505618 21
823 2583982 3.7093024 5
919 2558006 24.463917 23
786 2557650 9.806452 18
308 2551298 3.4133334 15
307 2546497 2.5882354 6
828 2531791 10.638298 15
718 2530613 7.3098593 15
921 2522227 2.1842105 7
135 2517896 4.32 15
238 2516312 12.255814 7
15 2504770 6.1363635 11
884 2496994 2.4 5
105 2479446 3.25 3
449 2468679 3.4423077 10
987 2467612 13.5074625 15
631 2448529 20 11
226 2434742 17.25532 3
389 2432461 6.525 16
234 2429455 2.7454545 7
765 2403245 21.1 6
721 2402331 4.8955226 12
53 2401991 2.6557376 5
466 2390008 3.5833333 9
521 2388233 5.814433 19
404 2386273 7.35 10
966 2357340 10.071428 6
184 2346180 12.2972975 12
239 2342986 6.151515 6
468 2322566 13.101695 14
309 2320073 14.229508 12
119 2318829 2.4054055 5
216 2317854 4.814815 16
516 2316340 12.548388 14
925 2304561 3.451613 5
771 2299013 5.606383 18
245 2278809 12.774194 19
900 2256370 12.377358 5
28 2247165 2.825 7
424 2247078 14.696202 19
500 2242527 28.264706 4
477 2242114 3.227848 14
27 2230466 9.186047 8
918 2224941 4.6551723 11
618 2222379 2.0677967 7
296 2218655 4.609756 15
552 2216995 5.6103897 3
488 2194718 11.378378 4
382 2193971 2.7380953 6
97 2193926 5.481928 12
341 2182977 2.4772727 5
265 2182204 8.30337 4
319 2178716 4.301587 14
787 2176719 8.90625 3
504 2169277 13.25 10
69 2162433 22.244444 8
819 2152442 3.0133333 10
279 2150793 17.023256 9
703 2148217 8.441176 3
818 2145124 8.461538 19
758 2144480 3.2837837 14
25 2143929 10.090909 23
628 2136159 8.461538 8
365 2135962 7.8024693 14
669 2133278 2.5757575 12
304 2133113 3.7826087 6
493 2130597 10.671641 13
77 2130300 26 22
345 2125979 3.0333333 6
146 2125005 10.716981 3
169 2118024 9.918605 18
772 2103626 10.3052635 18
959 2103358 6.326316 23
459 2098264 5.959596 4
629 2089435 5.12766 6
116 2088241 2.0151515 11
294 2087966 2.2164948 7
349 2087965 4.1842103 9
603 2083101 2.4492753 2
620 2082985 17.338236 9
849 2078536 26.520409 24
903 2071507 8.282609 11
757 2057461 11.965517 11
484 2056547 12.145833 3
64 2045195 15.255814 3
642 2043944 7.9038463 5
270 2039401 3.0689654 2
344 2030226 9.407408 9
944 2026576 2.6 8
202 2023084 11.133333 7
859 2022783 29.38889 13
381 2017847 2.7634408 6
880 2012012 15.072917 24
1 1989680 20 6
472 1980404 18.17284 15
988 1979982 9.679487 15
396 1974117 8.408163 12
545 1972789 2.75 5
190 1970566 19.202532 19
986 1949528 4.4605265 13
894 1945746 25.774193 11
417 1943568 7.0819674 4
904 1931506 16.290697 20
434 1927371 15.488095 17
227 1924656 19.714285 17
286 1905273 15.697675 15
240 1898616 7.529412 17
955 1895750 10.5161295 2
232 1894643 13.154929 17
80 1894538 5.8433733 4
691 1894274 10.159091 7
489 1889401 7.4897957 11
573 1884494 2.9705882 9
842 1878976 12.424242 19
499 1876042 3.7142856 13
881 1866819 18.229166 21
993 1861500 10.344828 14
834 1859910 2.419355 4
271 1858317 12.457143 6
685 1857119 17.43678 20
975 1850221 3.2 4
644 1835703 12.680851 10
131 1835499 5.4533334 14
439 1831368 12.826087 10
892 1829510 2.7894738 8
318 1827772 23.87755 21
974 1825386 10.081633 11
268 1822108 2.4285715 7
523 1818627 28.918919 3
156 1817024 8.820513 5
901 1813277 3.7843137 8
716 1808402 6.5609756 9
60 1802199 6.9473686 6
676 1801825 6.612245 21
947 1801524 8.051282 3
518 1800621 2.1818182 5
896 1800500 3.3838384 11
627 1799967 30.632912 11
756 1794076 5.7 8
996 1791463 3.5517242 8
291 1789534 2.5531914 10
253 1788523 2.9534883 6
931 1781201 3.8285713 2
186 1778874 22.633333 3
236 1777469 24.535353 15
762 1767702 3.921875 13
102 1748132 9.161765 9
608 1740077 5.4888887 10
801 1739629 25.556818 11
483 1735915 11.15625 17
508 1729522 14.56 11
882 1727621 3.698795 11
645 1718906 7.0307693 14
906 1718333 13.01 24
839 1712296 8.6081085 17
419 1711012 7.7613635 15
957 1710334 16.071428 9
745 1699757 15.36 18
665 1698390 16.25 6
328 1690932 3.8888888 14
640 1688456 3.6666667 6
711 1676788 3.290909 5
548 1666728 17.368422 13
888 1663052 10.166667 12
383 1652601 3.142857 2
20 1641884 21.572916 20
550 1630273 24.466667 16
877 1629337 4.3012047 8
415 1626893 12.942857 5
795 1625714 2.56383 7
511 1622442 6.518072 19
852 1615591 14.37234 16
302 1614224 2.7555556 5
890 1610334 5.3333335 11
246 1608782 23.652632 8
820 1591618 3.4054055 6
454 1574271 7.2526317 9
29 1572825 19.76389 17
179 1565402 10.768116 15
138 1561731 6.7906976 6
204 1561367 14.57 6
210 1556284 9.623188 11
529 1552216 24.557692 9
56 1552179 19.097826 12
124 1547112 12.014925 10
19 1546706 14.414634 10
750 1545814 28.516853 21
963 1544773 22.525253 17
421 1539900 3.4487178 11
91 1536750 31.864864 12
861 1534316 17.205128 4
252 1526350 19.244444 8
371 1526152 24.257576 14
695 1524061 23.648352 3
74 1521751 5.631579 7
739 1519259 17.163935 14
331 1513291 11.935484 6
213 1511231 5.733333 5
767 1505062 5.8055553 4
561 1504086 3.764706 6
455 1503504 3.140845 3
321 1501342 13.744186 8
926 1494371 6.8985505 13
889 1488637 6.888889 4
133 1487709 23.710526 6
316 1487382 23.532608 23
272 1487110 3.7575758 5
70 1482779 4.7959185 6
632 1481044 6.522388 3
462 1479894 2.797619 7
578 1469923 16.087719 10
325 1469101 10.541667 2
401 1467118 5.779412 5
403 1466391 9.639535 5
506 1460805 10.160714 13
726 1460377 11.67347 21
501 1455268 8.174603 6
256 1455126 6.55 9
242 1453020 9.414634 5
970 1449301 3.84375 2
613 1446371 17.935484 17
423 1445193 16.464285 3
117 1441574 7.0571427 13
100 1441251 6.0128207 17
127 1435825 12.439024 9
153 1432606 3.9113925 13
850 1425988 2.5714285 7
13 1422603 18.346153 13
932 1416305 13.8714285 5
675 1415323 2.6511629 8
4 1409266 10.116279 9
991 1404681 3.7906976 4
9 1399595 16.09091 12
456 1396929 9.323233 16
132 1394966 18.354166 9
228 1394253 18.232557 4
311 1393508 12.605263 7
667 1389858 13.096774 3
463 1389170 28.903225 23
796 1387123 9.514706 17
840 1386799 13.23 8
634 1386029 2.936508 10
998 1384434 13.582089 13
865 1379538 2.6585367 4
594 1377377 23.717173 10
647 1370190 4.8958335 8
589 1363135 7.5925927 4
719 1355487 7.866667 8
816 1353139 31.544445 13
698 1350309 2.881356 3
408 1346230 2.2666667 8
775 1346121 2.6065574 7
995 1344790 20.057972 15
807 1344461 11.25 4
57 1338728 2.0833333 3
175 1323681 25.11111 17
120 1316685 22.942858 3
831 1309080 14.090909 4
776 1297987 7.269231 10
173 1291596 7.8433733 17
599 1279506 13.846154 15
780 1277822 10.119047 20
142 1276983 2.21875 5
149 1276652 5.2702703 9
868 1275592 27.586956 8
263 1273821 6.451613 4
113 1272201 7.0793653 12
761 1272075 10.12 3
82 1266470 5.382979 7
945 1266429 24.9375 6
663 1265824 17.833334 6
541 1264892 15.520833 7
224 1264394 30.536585 13
322 1260864 20.232557 7
491 1258177 22.986666 13
770 1247676 15.705882 12
273 1247350 3.2098765 12
997 1242045 11.694118 19
73 1241505 6.12 5
229 1240614 7.0857143 4
486 1239428 6.5 4
275 1237909 13.894737 14
129 1235569 5.3404255 9
734 1234487 8.430769 10
88 1231934 7.5666666 5
445 1231108 16.432432 4
353 1228514 26.397959 21
537 1223897 11.05 13
846 1223624 17.884058 4
375 1210859 7.4333334 7
854 1210386 2.676923 9
197 1204786 10.22807 13
797 1197255 3.090909 5
289 1194857 9.240506 7
812 1194849 29.659575 10
363 1194074 11.6875 5
452 1191206 21.746666 17
255 1190701 2.301205 2
524 1187356 11.482142 9
166 1185502 8.056338 15
223 1185385 5.2537313 10
11 1176606 5.762712 13
278 1175558 20.87324 7
512 1171409 2.9375 3
928 1170173 26.280703 8
32 1169213 4.2394366 8
410 1168629 15.096774 14
915 1168415 3.1630435 3
652 1163874 8.064102 4
92 1163091 18.113207 9
694 1161013 5.7936506 10
111 1153985 3.490909 11
52 1153564 3.152174 6
39 1153291 3.5081968 4
885 1150270 11 8
633 1141393 10.543478 20
89 1140955 27.966291 13
94 1140101 30.439394 2
764 1139112 7.6 9
380 1137611 29.886793 7
720 1136473 11.130953 14
752 1134081 5.5925927 8
563 1133616 23.913044 4
862 1132668 25.76923 7
596 1130158 7.9772725 9
431 1126669 29.170732 7
940 1125849 15.753425 11
930 1121094 16.363636 4
678 1112957 27.295454 7
863 1110444 6.542857 3
893 1108081 19.477272 3
81 1102197 18.83721 18
303 1099525 19.61017 4
